amount,device_type,transaction_time,location,frequency
3620.863648649295,mobile,evening,urban,11
7324.90160752631,web,night,urban,7
3825.120061495644,mobile,afternoon,rural,5
4516.907725691487,web,evening,urban,10
6220.275826054505,atm,morning,suburban,17
3153.703525349067,mobile,morning,urban,12
5341.189901906194,web,evening,urban,11
6960.714131423642,atm,evening,suburban,7
2588.7751481581586,web,morning,rural,10
5276.950787798456,mobile,afternoon,suburban,6
5389.824191372635,mobile,night,suburban,10
6172.734307665965,web,afternoon,suburban,11
3144.5739336828774,mobile,evening,urban,7
3019.3150803735853,web,afternoon,urban,7
5782.912348425347,atm,morning,suburban,5
5445.477009849779,atm,evening,urban,13
5375.739275518815,mobile,night,suburban,10
5519.672314245464,mobile,morning,rural,16
3979.9629176322637,atm,morning,urban,5
5348.380545741506,web,night,urban,5
5439.608709948022,mobile,night,suburban,10
3928.4728729604485,atm,afternoon,urban,10
7798.661766717135,web,evening,suburban,8
5710.749381367681,mobile,night,urban,9
3213.044754196027,mobile,night,suburban,15
5984.830412950745,mobile,evening,urban,11
3537.977494659018,mobile,night,suburban,13
6180.626905613678,mobile,night,urban,11
6737.893368511106,web,afternoon,urban,7
3768.976522472434,mobile,morning,urban,11
6445.064193866483,mobile,morning,suburban,5
5619.171390404747,mobile,morning,suburban,10
6233.090239991735,mobile,morning,urban,6
7845.189473980921,atm,night,urban,13
4631.917825995694,mobile,evening,urban,4
3869.3957534637657,mobile,evening,suburban,16
3665.728355561715,web,afternoon,suburban,12
3776.2845725518428,mobile,afternoon,urban,11
4884.3474358788435,mobile,night,urban,12
5511.727962224966,mobile,evening,urban,15
5415.036198995029,mobile,evening,urban,10
6240.774873554035,mobile,morning,urban,8
5019.502837816861,mobile,night,rural,11
7180.301115735975,mobile,night,urban,6
4603.014750143066,atm,morning,suburban,8
9080.253749884429,mobile,night,urban,11
5938.501021647509,mobile,night,urban,12
3714.2636653755762,web,afternoon,suburban,12
3393.6612529083313,mobile,evening,suburban,8
5723.708622864778,web,night,rural,9
4664.805822011223,mobile,afternoon,urban,15
6071.0007411381375,atm,evening,urban,8
5709.856436860317,mobile,morning,suburban,9
4890.756631014691,mobile,afternoon,urban,12
3729.8094228973923,mobile,afternoon,urban,9
2727.729162971203,atm,evening,urban,9
4330.227571899468,mobile,morning,urban,15
6284.598191485208,mobile,afternoon,suburban,6
5321.1406161953055,mobile,night,urban,11
3131.3918319320182,web,night,urban,8
5259.771388776773,mobile,night,urban,9
5577.9760695932555,web,morning,urban,12
3674.2138456983002,mobile,afternoon,urban,9
5230.587658918292,mobile,night,urban,12
5087.3130776689995,mobile,morning,urban,10
3285.5445532540652,mobile,night,suburban,9
5536.681040522425,mobile,evening,urban,6
5841.176789552352,mobile,afternoon,urban,13
6624.576864762916,web,afternoon,suburban,8
6580.703078052355,mobile,morning,suburban,8
2933.4959480643633,mobile,morning,urban,11
3593.262440127316,mobile,afternoon,urban,18
5772.55290081299,mobile,night,urban,9
5770.678926368313,mobile,night,suburban,10
5772.571529459072,mobile,evening,rural,10
10779.09723598208,mobile,night,suburban,9
5856.3357660397505,web,morning,urban,7
6703.348460270899,atm,morning,suburban,10
6431.002645239803,mobile,night,urban,11
5977.086876958697,mobile,morning,urban,9
4527.096133039481,web,afternoon,urban,10
6138.453830739902,mobile,afternoon,rural,11
3840.7621781936423,mobile,night,urban,11
4644.772089889987,mobile,afternoon,suburban,9
4271.954678256345,web,afternoon,urban,10
5122.811209079484,web,evening,urban,15
8471.987850010264,mobile,evening,urban,10
2199.102211112378,mobile,afternoon,urban,6
6029.390285561771,mobile,night,suburban,6
2580.9261932155227,web,evening,urban,8
4292.10220131585,mobile,morning,suburban,16
6633.42589545105,mobile,morning,suburban,10
5096.420028643194,web,morning,rural,11
3383.382833106041,mobile,night,urban,8
3927.0444361100476,web,afternoon,urban,13
6019.396623402014,mobile,morning,urban,10
3904.450052424295,mobile,night,rural,13
5324.687884372962,mobile,evening,rural,7
5068.35775985572,web,afternoon,urban,14
4022.5994785912744,web,evening,suburban,9
8215.916133987988,web,night,urban,12
5950.878533477016,mobile,morning,suburban,12
1962.2861200135894,web,morning,urban,8
5279.681472154141,mobile,night,suburban,13
4007.320302847418,mobile,morning,urban,8
6278.650002194336,web,afternoon,suburban,12
3811.2188923509493,mobile,night,suburban,11
4827.895337799651,mobile,evening,suburban,14
5757.4809184706855,mobile,night,urban,5
6298.632791255182,mobile,afternoon,urban,4
3199.555389416336,mobile,afternoon,urban,9
4498.248146238578,mobile,night,urban,8
4287.582033258565,mobile,night,urban,10
4020.0061511394324,web,morning,rural,4
7648.181360421646,web,afternoon,urban,3
5607.472566441434,mobile,night,urban,9
3108.674068497432,mobile,night,urban,7
6376.792920582164,mobile,afternoon,urban,9
8183.23429551895,mobile,night,suburban,8
6548.69789082672,mobile,morning,urban,7
2720.94505106898,web,afternoon,rural,9
4273.648890700623,mobile,morning,urban,6
6900.366723779935,mobile,morning,rural,10
3938.495801571829,mobile,morning,suburban,11
5665.729142219343,mobile,morning,urban,7
6161.951080144005,atm,afternoon,rural,10
3609.6042926328755,web,morning,urban,6
4910.7119659073,mobile,morning,suburban,8
500.0,web,night,urban,8
3463.418537998565,mobile,afternoon,suburban,11
4621.14777291026,web,afternoon,suburban,12
3128.3252270527255,web,evening,suburban,3
7448.6169558974525,mobile,afternoon,suburban,12
2854.787933059051,mobile,afternoon,urban,14
4339.933269954525,mobile,evening,urban,7
5196.110865929137,mobile,afternoon,urban,8
7161.909933599173,web,afternoon,urban,9
2846.206773230841,mobile,afternoon,suburban,14
6744.745628232439,mobile,afternoon,urban,9
5015.349591529381,web,evening,rural,5
3527.7370234280734,atm,afternoon,suburban,10
5693.1552113949065,mobile,afternoon,suburban,11
5298.589543360205,mobile,evening,urban,12
4099.674684261808,mobile,night,suburban,17
5104.703127485029,mobile,morning,rural,8
4422.02960470736,atm,night,urban,13
5170.276017876872,mobile,evening,suburban,3
5993.19601178157,mobile,morning,suburban,17
7379.025224218029,mobile,evening,urban,9
3143.2767517597267,mobile,evening,urban,7
8199.5500619844,web,afternoon,urban,9
2071.868300716247,web,morning,urban,13
4772.322357446625,mobile,afternoon,urban,7
5882.475809726865,mobile,morning,urban,10
5421.487801602549,mobile,evening,urban,7
4065.9507202691093,atm,evening,urban,11
4687.816624464087,web,night,rural,6
4260.498598011751,mobile,morning,urban,12
4115.952864583683,web,afternoon,rural,11
6274.403145531537,web,night,urban,12
5535.523228947571,mobile,night,urban,15
3960.6356071090186,atm,night,urban,9
6349.399813149876,mobile,afternoon,urban,5
5460.949281314914,mobile,night,urban,8
6219.29317825844,mobile,afternoon,suburban,8
5944.443262885418,mobile,night,urban,6
3756.5074836168915,mobile,afternoon,suburban,10
4159.728439704546,web,evening,suburban,10
6120.940407684893,mobile,evening,urban,18
5915.555398150197,web,evening,urban,12
4968.647609053778,mobile,evening,suburban,6
5175.991074963173,mobile,evening,urban,6
6916.497343682638,mobile,night,urban,13
4112.642916746255,mobile,night,rural,8
5820.646071755057,web,night,urban,14
4696.711021349159,mobile,afternoon,suburban,13
4673.478195159169,mobile,afternoon,rural,9
6648.165277980785,mobile,afternoon,urban,4
6238.124523482045,web,afternoon,urban,7
6220.264454000958,atm,evening,urban,12
6958.218210731494,web,evening,urban,16
5031.505762449138,mobile,evening,urban,18
6022.9294569424455,mobile,morning,suburban,9
4534.599865109816,mobile,night,urban,7
5486.249528732663,mobile,afternoon,urban,11
4804.785418448473,mobile,afternoon,rural,11
5145.493947489077,mobile,evening,suburban,13
5892.735538155371,mobile,afternoon,suburban,9
3772.6689751497915,mobile,afternoon,urban,7
8138.580913528191,web,night,suburban,15
3490.973927750447,mobile,evening,urban,10
3178.717080818402,mobile,night,urban,12
6737.166310250102,web,morning,urban,6
6187.494040944404,mobile,morning,suburban,11
5936.179725578233,web,morning,urban,10
5942.51826389642,mobile,evening,urban,10
4981.629840729628,mobile,afternoon,urban,4
3654.1184427712524,web,evening,urban,13
5113.70683729059,web,evening,suburban,10
3984.2574327318325,web,afternoon,suburban,9
6462.679600126627,mobile,night,suburban,14
4779.413927746792,mobile,morning,urban,18
3761.7542048112327,mobile,night,urban,11
4517.92123752051,mobile,morning,urban,9
5619.397181413437,atm,evening,urban,16
4154.413170794038,mobile,morning,urban,13
3766.669406650353,atm,evening,suburban,10
5365.530817237868,mobile,night,urban,7
5367.449856663085,mobile,evening,urban,12
4239.585236943305,mobile,night,urban,11
4293.442541572516,web,afternoon,urban,10
5348.074906036454,web,afternoon,urban,16
2827.8734877540137,web,afternoon,rural,11
2888.804338435167,web,evening,suburban,8
3922.333668121346,web,afternoon,rural,12
4679.829272432229,web,morning,urban,9
5466.361348397007,mobile,night,urban,10
7213.034325424328,mobile,night,urban,5
6286.489434803029,mobile,morning,urban,9
4760.09220505486,atm,evening,suburban,13
4971.475688145967,atm,evening,urban,9
3496.2059530432866,mobile,night,urban,11
4972.230296011415,web,afternoon,urban,13
4567.012041619792,atm,evening,urban,11
5484.077840507134,mobile,evening,suburban,11
3759.1535846715155,mobile,morning,urban,5
5779.019771361758,atm,morning,urban,7
7299.108369503867,mobile,afternoon,urban,2
4836.859777314714,web,evening,urban,14
5602.567583148412,mobile,evening,suburban,17
6035.215987566668,atm,morning,suburban,9
4398.169292171246,atm,evening,rural,10
5336.138722715625,atm,night,suburban,8
5018.888601172693,mobile,morning,urban,15
5146.514147823247,web,afternoon,suburban,13
3840.4853242168,web,morning,urban,10
5036.765261388414,mobile,evening,urban,11
5746.997436868174,web,afternoon,suburban,8
7176.715411692563,mobile,morning,urban,7
6438.90623912781,mobile,night,rural,10
8229.773686267334,mobile,night,urban,8
3848.9786556679255,mobile,morning,suburban,13
6308.480955081017,mobile,night,suburban,10
5275.013008607528,web,night,suburban,9
8284.704399826509,mobile,night,suburban,6
3787.552571967273,web,afternoon,suburban,10
3740.4172367288356,mobile,night,urban,20
4100.911031833966,mobile,night,urban,8
1814.1564135352896,mobile,night,urban,7
4211.367467478858,web,afternoon,suburban,7
3861.301007669453,mobile,morning,urban,9
5225.590679714312,web,evening,suburban,8
5512.633963665739,web,night,urban,13
7814.256258823829,web,morning,urban,9
6425.635757279075,mobile,night,suburban,13
4134.644516506395,mobile,afternoon,urban,11
3652.377992977463,web,morning,urban,12
5737.8787572597585,mobile,afternoon,urban,13
3019.650189469037,web,night,rural,17
7747.188148781531,mobile,night,suburban,8
6769.16018108193,atm,afternoon,urban,8
4296.236521842943,web,evening,urban,13
2430.2982063636837,atm,afternoon,urban,10
7030.808561248119,mobile,night,suburban,9
4828.190232121073,web,afternoon,suburban,13
6856.724467960193,mobile,evening,urban,12
2608.3585118084493,mobile,afternoon,urban,15
4100.937465569341,web,evening,urban,8
5007.865549577275,web,evening,suburban,7
5070.470890647113,atm,afternoon,suburban,12
4324.901792781135,web,afternoon,urban,17
5934.274898521248,mobile,morning,urban,9
3398.5693559261085,mobile,night,urban,9
4786.430772468059,web,evening,rural,14
5180.443447567848,mobile,morning,urban,9
5771.6582510881235,mobile,afternoon,suburban,10
6067.422317133334,mobile,night,suburban,6
3313.036862243196,mobile,morning,urban,6
2698.8287438965667,mobile,evening,urban,8
6916.515232847763,mobile,morning,urban,7
5498.4710179693875,mobile,evening,suburban,11
3877.2701951651698,mobile,afternoon,suburban,15
7326.727963283784,atm,night,suburban,12
5173.511951439288,mobile,night,urban,10
6768.945776095739,mobile,night,urban,8
5101.277722115164,web,afternoon,rural,11
8091.121887322981,mobile,evening,suburban,12
7633.011263664806,atm,afternoon,urban,8
4626.55377728139,web,night,rural,12
6457.356426431534,mobile,afternoon,suburban,12
5968.063924377721,mobile,afternoon,urban,7
7052.947336298523,web,afternoon,suburban,12
3552.6148091298433,atm,evening,suburban,8
6029.077189997659,mobile,morning,suburban,4
6587.636730274382,web,morning,urban,5
2361.8907703653285,mobile,afternoon,urban,12
3225.1122310013375,atm,morning,rural,9
1941.151733359849,mobile,morning,urban,9
4595.889748333163,atm,afternoon,urban,7
6076.313383693943,web,afternoon,urban,8
7253.535578144042,web,night,urban,11
5111.142170629662,mobile,morning,suburban,8
7442.923318356938,mobile,evening,rural,11
2929.847812677663,mobile,afternoon,urban,11
2444.926340967268,mobile,night,urban,7
4916.6784516550715,mobile,evening,urban,12
5576.098173408961,web,morning,suburban,8
4950.95787785886,mobile,night,suburban,17
1898.836849940185,mobile,afternoon,urban,7
4866.3199407308175,atm,evening,suburban,12
3043.2957492427204,web,afternoon,suburban,9
6004.508823245058,atm,morning,suburban,11
5549.897369145272,atm,evening,rural,9
3590.1803205089673,mobile,morning,urban,7
4229.199623994959,mobile,morning,suburban,21
3411.1797171665726,web,night,urban,5
4905.981354090242,web,afternoon,suburban,15
6432.713480751858,mobile,evening,suburban,7
3521.410930496684,web,morning,suburban,12
5756.069773276767,mobile,morning,suburban,11
4204.613572441339,mobile,evening,urban,11
3810.690751606484,mobile,morning,urban,12
4839.454460068163,mobile,night,rural,7
3447.136516370939,mobile,night,rural,12
4169.526041979227,mobile,night,urban,7
3203.183161116727,web,night,urban,8
7947.087699374584,mobile,morning,urban,4
5052.895327957593,mobile,evening,suburban,12
3950.4117380111215,web,evening,suburban,12
5320.969866101333,atm,evening,urban,16
4831.507925463755,web,evening,urban,7
4668.545600700166,web,afternoon,suburban,12
5921.250050065138,web,evening,suburban,10
6136.261565070958,mobile,afternoon,urban,9
4204.2482785842085,mobile,afternoon,urban,11
4136.27263903298,mobile,night,urban,8
4587.422454272534,mobile,afternoon,urban,13
1547.1182528966228,mobile,morning,urban,11
2727.2134067021716,web,afternoon,suburban,12
7050.311401166788,mobile,night,suburban,9
7467.451570251926,mobile,afternoon,suburban,16
4626.445940665432,mobile,morning,suburban,13
5864.835444583649,web,morning,urban,9
5466.875231815304,mobile,morning,urban,8
9618.321212682857,web,night,urban,16
6679.362367151865,mobile,night,urban,13
4808.123612778851,mobile,evening,suburban,11
3566.6893390993614,mobile,night,rural,6
2590.330519613641,web,morning,urban,4
5305.195453800835,mobile,morning,urban,13
3865.4738820735447,web,night,suburban,5
2866.619435603489,mobile,afternoon,urban,8
4030.14067363621,mobile,night,urban,10
3377.6779945784074,web,night,suburban,9
7530.712452608847,web,morning,suburban,13
6322.459635424176,web,evening,urban,17
4988.041038025074,web,morning,urban,8
7219.916208335038,web,evening,suburban,16
5116.052461471428,web,morning,urban,5
3708.0736980076044,web,night,urban,10
7284.686115904486,web,morning,suburban,7
5808.3650655269885,web,morning,urban,9
3444.1307685103156,web,morning,suburban,6
4714.491982874588,web,night,urban,7
3686.5726199228643,mobile,night,rural,6
2925.800403553496,web,night,urban,12
